"*";"base";"s"
"cn_Sandalj.m";"桑達爾吉";""
"cn_Sandor.m";"桑鐸";""
"cn_Sane.m";"桑恩";""
"cn_Sanhaji.m";"桑哈吉";""
"cn_Sanjar.m";"桑加爾";""
"cn_Sanna.f";"桑娜";""
"cn_Saphadin.m";"薩法丁";""
"cn_Sara.f";"薩拉";""
"cn_Sara_Teodora.f";"薩拉-提歐多拉";""
"cn_Sarah.f";"莎拉";""
"cn_Sarahkka.f";"莎拉卡";""
"cn_Sardinia.f";"莎丁妮雅";""
"cn_Sargis.m";"薩爾吉斯";""
"cn_Saricha.m";"薩里恰";""
"cn_Sarkis.m";"薩爾齊斯";""
"cn_Sarracino.m";"薩拉席諾";""
"cn_Sarrasine.f";"莎拉席妮";""
"cn_Sartak.m";"薩爾塔克";""
"cn_Sartaq.m";"薩爾塔可";""
"cn_Sas.m";"薩斯";""
"cn_Sasiltan.m";"薩席爾坦";""
"cn_Saskia.f";"莎絲琪雅";""
"cn_Sassouma.f";"莎索瑪";""
"cn_Saul.m";"索爾";""
"cn_Sava.m";"沙瓦";""
"cn_Savarics.m";"沙沃里克斯";""
"cn_Savji.m";"沙弗吉";""
"cn_Sawwar.m";"撒瓦爾";""
"cn_Saxo.m";"薩索";""
"cn_Sayer.m";"薩耶爾";""
"cn_Sayf.m";"薩耶夫";""
"cn_Sayyda.f";"莎伊妲";""
"cn_Sayyed.m";"扎伊爾德";""
"cn_Sazia.f";"莎吉雅";""
"cn_Sean.m";"西恩";""
"cn_Seathan.m";"希瑟恩";""
"cn_Sebastian.m";"賽巴斯汀";""
"cn_Sebastianus.m";"賽巴斯汀努斯";""
"cn_Sebastos.m";"賽巴斯托斯";""
"cn_Sebestyen.m";"賽貝斯汀";""
"cn_Sef.m";"薩夫";""
"cn_Sefnyn.m";"薩夫因";""
"cn_Segius.m";"賽吉烏斯";""
"cn_Segui.m";"賽吉";""
"cn_Seguin.m";"賽吉因";""
"cn_Seif.m";"賽易夫";""
"cn_Seisyll.m";"賽西爾";""
"cn_Semamun.m";"賽馬穆";""
"cn_Semion.m";"賽米翁";""
"cn_Sempad.m";"瑟帕德";""
"cn_Semseddin.m";"瑟賽丁";""
"cn_Senena.f";"珊妮娜";""
"cn_Seneqerim.m";"山恩奎姆";""
"cn_Seneqerim_Hovhannes.m";"山恩奎姆-荷翰尼斯";""
"cn_Seneslav.m";"山恩斯拉夫";""
"cn_Senggum.m";"森格姆";""
"cn_Seoan.m";"賽歐安";""
"cn_Serebandjougou.m";"賽瑞班裘古";""
"cn_Sergije.m";"瑟吉黑";""
"cn_Sergio.m";"瑟吉歐";""
"cn_Sergios.m";"瑟吉歐斯";""
"cn_Sergius.m";"瑟吉烏斯";""
"cn_Serle.m";"瑟雷";""
"cn_Settembrina.f";"賽譚布莉娜";""
"cn_Sevics.m";"賽維克斯";""
"cn_Sewal.m";"賽瓦爾";""
"cn_Seyfeddin.m";"賽伊菲丁";""
"cn_Seyhan.m";"賽伊罕";""
"cn_Sgouros.m";"斯高羅斯";""
"cn_Shabib.m";"夏彼布";""
"cn_Shadai.m";"夏戴伊";""
"cn_Shadgeldi.m";"夏蓋爾第";""
"cn_Shadi.m";"夏迪";""
"cn_Shahanshah.m";"夏罕夏";""
"cn_Shahen.m";"夏翰";""
"cn_Shahib.m";"夏西布";""
"cn_Shahid.m";"夏西德";""
"cn_Shahin.m";"夏辛";""
"cn_Shaima.f";"夏伊瑪";""
"cn_Shajara.m";"夏加拉";""
"cn_Shaka.m";"夏卡";""
"cn_Shalva.m";"夏爾瓦";""
"cn_Shamadavle.m";"夏馬達夫雷";""
"cn_Shanshe.m";"夏恩許";""
"cn_Shapur.m";"夏普爾";""
"cn_Sharaf.m";"夏拉夫";""
"cn_Sharif.m";"夏立夫";""
"cn_Shavarsh.m";"夏瓦爾許";""
"cn_Shavur.m";"夏伍爾";""
"cn_Shaw.m";"肖恩";""
"cn_Shaykhu.m";"夏伊庫";""
"cn_Shebli.m";"夏布立";""
"cn_Sheiban.m";"舍伊班";""
"cn_Shekanda.m";"舍坎達";""
"cn_Shergil.m";"舍爾吉爾";""
"cn_Shifa.f";"希法";""
"cn_Shigdur.m";"席格都爾";""
"cn_Shihab.m";"席哈布";""
"cn_Shihabuddin.m";"席哈布汀";""
"cn_Shinggu.m";"辛古";""
"cn_Shirin.f";"席爾令";""
"cn_Shirkuh.m";"席爾庫";""
"cn_Shishman.m";"席許曼";""
"cn_Shith.m";"希思";""
"cn_Shoja.m";"修加";""
"cn_Shota.m";"修塔";""
"cn_Shoushana.f";"修夏娜";""
"cn_Shoushanik.f";"修香妮可";""
"cn_Shpetim.m";"史培庭";""
"cn_Shtjefni.m";"史傑夫尼";""
"cn_Shuja.m";"蘇加";""
"cn_Shukr.m";"蘇克爾";""
"cn_Shuqayr.m";"蘇奎爾";""
"cn_Shurkuh.m";"蘇爾庫";""
"cn_Shushan.f";"蘇香";""
"cn_Shvarno.m";"史瓦爾諾";""
"cn_Siara.m";"席亞拉";""
"cn_Sibilia.f";"西碧莉亞";""
"cn_Sibislav.m";"席畢斯拉夫";""
"cn_Sibot.m";"席伯特";""
"cn_Sibyl.f";"席碧兒";""
"cn_Sibylla.f";"席碧拉";""
"cn_Sibylle.f";"席碧爾";""
"cn_Sicard.m";"席卡德";""
"cn_Sicart.m";"席卡特";""
"cn_Sichelgaita.f";"席雀嘉塔";""
"cn_Sicres.m";"席克瑞斯";""
"cn_Sidi.m";"西迪";""
"cn_Siemowit.m";"西莫維特";""
"cn_Sighard.m";"席格哈德";""
"cn_Sighvatr.m";"席格瓦特";""
"cn_Sigismund.m";"席吉斯穆";""
"cn_Sigmund.m";"席格穆";""
"cn_Sigraf.m";"席格拉夫";""
"cn_Sigrid.f";"席格麗";""
"cn_Sigrlinn.f";"席格琳";""
"cn_Sigurd.m";"席古爾德";""
"cn_Sigvadur.m";"席格瓦都爾";""
"cn_Sigvid.m";"席格維";""
"cn_Sikari.m";"西卡里";""
"cn_Simamun.m";"西馬穆";""
"cn_Simeon.m";"西米翁";""
"cn_Simo.m";"西摩";""
"cn_Simon.m";"西蒙";""
"cn_Simone.m";"希蒙";""
"cn_Simonida.f";"希蒙妮妲";""
"cn_Simos.m";"西摩斯";""
"cn_Sinan.m";"席南";""
"cn_Sindukhtar.f";"辛都克塔";""
"cn_Sinisha.m";"辛尼夏";""
"cn_Sinka.m";"辛卡";""
"cn_Sion.m";"席翁";""
"cn_Siraj.m";"席拉茲";""
"cn_Sirajuddin.m";"席拉朱汀";""
"cn_Sirghitmish.m";"席吉米許";""
"cn_Sirputis.m";"席爾普提斯";""
"cn_Sissela.f";"西賽菈";""
"cn_Sitara.f";"西塔菈";""
"cn_Sithech.m";"西賽克";""
"cn_Sithig.m";"西西格";""
"cn_Siti.f";"西緹";""
"cn_Siwan.f";"席芳";""
"cn_Siward.m";"西瓦德";""
"cn_Sixten.m";"西斯騰";""
"cn_Siegfrid.m";"西格弗利德";""
"cn_Skalmantas.m";"史卡曼塔斯";""
"cn_Skirgaila.m";"史齊加利亞";""
"cn_Skirgiello.m";"史齊杰羅";""
"cn_Skjalm.m";"史克加爾姆";""
"cn_Skofte.m";"史柯夫特";""
"cn_Skule.m";"史庫爾";""
"cn_Slaine.f";"絲拉茵";""
"cn_Slimane.m";"史立曼恩";""
"cn_Smbat.m";"史姆巴特";""
"cn_Smilets.m";"史密雷茲";""
"cn_Snorri.m";"史諾里";""
"cn_Sobeslav.m";"索伯斯拉夫";""
"cn_Sochigel.f";"索琪蓋爾";""
"cn_Sofia.f";"索菲亞";""
"cn_Sofiane.m";"蘇菲亞尼";""
"cn_Sofie.f";"索菲";""
"cn_Sogolon.f";"蘇歌瓏";""
"cn_Sohier.m";"索西耶爾";""
"cn_Sohrab.m";"索拉布";""
"cn_Sokmen.m";"索克門";""
"cn_Sol.f";"梭爾";""
"cn_Solaiman.m";"索萊曼";""
"cn_Soldane.f";"索妲妮";""
"cn_Solghar.f";"索哈爾";""
"cn_Solomon.m";"所羅門";""
"cn_Solveig.f";"索薇格";""
"cn_Sonni.m";"松尼";""
"cn_Sophia.f";"蘇菲亞";""
"cn_Sophie.f";"蘇菲";""
"cn_Sophonias.m";"索豐尼亞斯";""
"cn_Sophronius.m";"索福隆繆斯";""
"cn_Sorgan.m";"索爾甘";""
"cn_Sorghaghtani.f";"索雅塔妮";""
"cn_Sorkhokhtani.f";"索柯塔妮";""
"cn_Sosso.m";"索梭";""
"cn_Souad.f";"蘇瓦德";""
"cn_Souleyman.m";"索雷曼";""
"cn_Soumaoro.m";"索馬羅";""
"cn_Sphrantzes.m";"史夫蘭茲";""
"cn_Sproudeika.m";"史普洛戴卡";""
"cn_Spytek.m";"史匹泰克";""
"cn_Sratsimir.m";"史拉齊米爾";""
"cn_Stana.f";"史塔娜";""
"cn_Stanisha.m";"史坦尼夏";""
"cn_Stanislau.m";"史坦尼斯勞";""
"cn_Stanislaus.m";"史坦尼斯勞斯";""
"cn_Stanislovas.m";"史坦尼斯洛瓦斯";""
"cn_Stefan.m";"史蒂芬";""
"cn_Stefan_Nemanjic.m";"史蒂芬-尼曼雅";""
"cn_Stefan_Urosh.m";"史蒂芬-烏洛許";""
"cn_Stefano.m";"史蒂法諾";""
"cn_Steffan.m";"史蒂方";""
"cn_Steksys.m";"史泰克西斯";""
"cn_Sten.m";"史坦";""
"cn_Stenar.m";"史坦納爾";""
"cn_Stenkil.m";"史坦齊爾";""
"cn_Stepanie.f";"斯苔芙妮";""
"cn_Stepanos.m";"斯泰夫尼諾斯";""
"cn_Stephan.m";"斯泰芬";""
"cn_Stephanie.f";"斯苔芳妮";""
"cn_Stephano.m";"史帝法諾";""
"cn_Stephanos.m";"史帝法諾斯";""
"cn_Stephanus.m";"史帝法努斯";""
"cn_Stephen.m";"史帝芬";""
"cn_Steva.f";"史蒂娃";""
"cn_Stig.m";"史提格";""
"cn_Strahota.m";"史特拉霍塔";""
"cn_Strez.m";"史崔茲";""
"cn_Sturla.m";"史圖爾拉";""
"cn_Subutai.m";"速不臺";""
"cn_Suchigu.f";"蘇琪古";""
"cn_Sudimantas.m";"蘇迪曼塔斯";""
"cn_Sudislav.m";"蘇迪斯拉夫";""
"cn_Sueteluue.f";"舒特露耶";""
"cn_Sufyan.m";"蘇夫楊";""
"cn_Suhrab.m";"蘇拉布";""
"cn_Sukayna.f";"舒卡娜";""
"cn_Sukman.m";"蘇克曼";""
"cn_Sula.m";"蘇拉";""
"cn_Sulaym.m";"蘇萊姆";""
"cn_Sulayman.m";"蘇雷曼";""
"cn_Suleyman.m";"蘇萊曼";""
"cn_Sulien.m";"蘇立恩";""
"cn_Sulwan.f";"舒兒萬";""
"cn_Sumarlidi.m";"蘇馬里迪";""
"cn_Sumayya.f";"舒瑪雅";""
"cn_Sumbat.m";"蘇姆巴特";""
"cn_Sumnah.f";"舒姆娜";""
"cn_Sundiata.m";"蘇迪亞塔";""
"cn_Sune.m";"蘇奈";""
"cn_Sungur.m";"桑古爾";""
"cn_Sunniva.f";"桑妮娃";""
"cn_Suonetar.f";"舒翁塔爾";""
"cn_Surgan.m";"蘇爾甘";""
"cn_Suri.m";"蘇利";""
"cn_Surkhan.m";"蘇爾罕";""
"cn_Susanna.f";"蘇珊娜";""
"cn_Suzanne.f";"蘇珊妮";""
"cn_Svalkenis.m";"施瓦肯尼斯";""
"cn_Svarnas.m";"施瓦訥斯";""
"cn_Svaromir.m";"施瓦洛米爾";""
"cn_Svatava.f";"施瓦塔娃";""
"cn_Sven.m";"施溫";""
"cn_Sverker.m";"施溫克";""
"cn_Sverre.m";"施維瑞";""
"cn_Sviatopolk.m";"施維亞托波克";""
"cn_Sviatoslav.m";"施維亞托斯拉夫";""
"cn_Svitrigaila.m";"施維特里加拉";""
"cn_Swalegote.f";"施瓦雷勾特";""
"cn_Swannoc.f";"施萬諾克";""
"cn_Swantibor.m";"施萬提伯";""
"cn_Swantopolk.m";"施萬托波克";""
"cn_Swietopelk.m";"施維托培克";""
"cn_Swydeger.m";"施維德格";""
"cn_Sybil.f";"希碧爾";""
"cn_Sybilla.f";"希碧菈";""
"cn_Sydonia.f";"西多妮雅";""
"cn_Sygtrygg.m";"西格特里格";""
"cn_Sylvain.m";"席爾凡因";""
"cn_Sylvester.m";"席維斯特";""
"cn_Sylvia.f";"席薇亞";""
"cn_Sym.m";"席姆";""
"cn_Symeon.m";"席米翁";""
"cn_Symon.m";"席蒙";""
"cn_Synadene.f";"席娜德妮";""
"cn_Sypyn.m";"席普因";""
"cn_Syrgiannes.m";"席爾吉安尼斯";""
"cn_Ta_damiyit.m";"塔達米伊特";""
"cn_Tabon.m";"塔彭";""
"cn_Tachatuhi.f";"塔恰圖希";""
"cn_Taddea.f";"塔蒂雅";""
"cn_Taddeo.m";"塔迪歐";""
"cn_Tadg.m";"塔德格";""
"cn_Tadhg.m";"塔德革";""
"cn_Tadj.m";"塔德吉";""
"cn_Taghachar.m";"塔加察";""
"cn_Tahar.m";"塔哈爾";""
"cn_Tahir.m";"塔希爾";""
"cn_Tahtazz.f";"塔赫塔茲";""
"cn_Taiju.m";"塔伊朱";""
"cn_Tailltiu.f";"泰爾提烏";""
"cn_Tairdelbach.m";"泰德巴克";""
"cn_Taj.m";"塔吉";""
"cn_Tajeddin.m";"塔杰汀";""
"cn_Taki.m";"塔齊";""
"cn_Takkor.m";"塔寇爾";""
"cn_Talabuga.m";"塔拉布加";""
"cn_Talbod.m";"塔波德";""
"cn_Talesa.f";"塔蕾莎";""
"cn_Talhah.m";"塔爾翰";""
"cn_Talib.m";"塔里布";""
"cn_Tamar.f";"塔瑪爾";""
"cn_Tamara.f";"塔瑪拉";""
"cn_Tamari.f";"塔瑪莉";""
"cn_Tamas.m";"塔馬斯";""
"cn_Tamim.m";"塔明姆";""
"cn_Tammam.m";"塔馬姆";""
"cn_Tamta.f";"譚塔";""
"cn_Tanaiste.f";"塔娜絲緹";""
"cn_Tancred.m";"坦克里德";""
"cn_Tandu.f";"譚都";""
"cn_Tanggiz.m";"坦吉茲";""
"cn_Tangwhystl.f";"譚姬絲托";""
"cn_Tanush.m";"塔努許";""
"cn_Taos.f";"提奧絲";""
"cn_Tapio.m";"塔比歐";""
"cn_Taqiaddin.m";"塔齊亞丁";""
"cn_Taqu.m";"塔庫";""
"cn_Taraqai.m";"塔拉凱";""
"cn_Tarif.m";"塔里夫";""
"cn_Tarikh.m";"塔力克";""
"cn_Tariq.m";"塔里克";""
"cn_Tarja.f";"塔爾嘉";""
"cn_Tartu.m";"塔爾圖";""
"cn_Tashfin.m";"塔斯芬";""
"cn_Tashugin.m";"塔蘇金";""
"cn_Tasu.m";"塔蘇";""
"cn_Tati.m";"塔提";""
"cn_Taulas.m";"陶拉斯";""
"cn_Tautvilas.m";"陶維拉斯";""
"cn_Tawbah.m";"陶巴";""
"cn_Tayghur.m";"塔古爾";""
"cn_Tayyib.m";"塔伊布";""
"cn_Taz.m";"塔茲";""
"cn_Tbeli.m";"特貝里";""
"cn_Tecin.m";"泰辛";""
"cn_Tegin.m";"泰金";""
"cn_Tegridia.f";"泰格麗迪雅";""
"cn_Tegwared.m";"泰格瓦雷";""
"cn_Teige.m";"泰伊格";""
"cn_Tekish.m";"泰齊許";""
"cn_Tellervo.f";"泰樂沃";""
"cn_Temim.m";"鐵明姆";""
"cn_Temuge.m";"鐵穆吉";""
"cn_Temujin.m";"鐵木真";""
"cn_Temulin.f";"鐵木琳";""
"cn_Temur.m";"鐵木爾";""
"cn_Teobaldo.m";"提歐巴多";""
"cn_Teodor.m";"提歐鐸";""
"cn_Teodor_Petar.m";"提歐鐸-佩塔爾";""
"cn_Teodora.f";"緹歐多拉";""
"cn_Teodoras.m";"提歐鐸拉斯";""
"cn_Teodosia.f";"緹歐朵希雅";""
"cn_Teodosije.m";"提歐鐸希杰";""
"cn_Teodosiy.m";"提歐鐸西伊";""
"cn_Teresa.f";"特蕾莎";""
"cn_Terhenetar.f";"泰亨妮塔";""
"cn_Terjughan.f";"泰爾茱安";""
"cn_Terken.f";"泰爾肯";""
"cn_Terter.m";"泰特";""
"cn_Terval.m";"泰瓦爾";""
"cn_Thabid.m";"提比德";""
"cn_Thaddey.m";"薩迪伊";""
"cn_Thadeus.m";"薩迪烏斯";""
"cn_Thamar.f";"薩瑪爾";""
"cn_Thana.f";"薩娜";""
"cn_Thaqabah.f";"薩克芭";""
"cn_Theobald.m";"席奧伯德";""
"cn_Theodora.f";"席奧朵菈";""
"cn_Theodore.m";"席歐鐸";""
"cn_Theodoric.m";"席歐鐸瑞克";""
"cn_Theodoros.m";"席歐鐸羅斯";""
"cn_Theodorus.m";"席歐鐸魯斯";""
"cn_Theodosia.f";"席歐朵希雅";""
"cn_Theodosius.m";"席歐鐸修斯";""
"cn_Theodotos.m";"席歐多托斯";""
"cn_Theodotus.m";"席歐多圖斯";""
"cn_Theodoulos.m";"席歐多羅斯";""
"cn_Theoedos.m";"席歐伊多斯";""
"cn_Theoleptos.m";"席歐雷普托斯";""
"cn_Theophanu.f";"席歐法努";""
"cn_Theophilos.m";"席歐費羅斯";""
"cn_Theophylactos.m";"席歐菲拉托斯";""
"cn_Theresa.f";"賽瑞莎";""
"cn_Theresia.f";"賽瑞希雅";""
"cn_Thibaud.m";"席鮑德";""
"cn_Thierry.m";"席耶利";""
"cn_Thimo.m";"席莫";""
"cn_Thiry.m";"席利";""
"cn_Thom.m";"通姆";""
"cn_Thomas.m";"拖馬斯";""
"cn_Thome.m";"拖梅";""
"cn_Thopia.m";"拖皮亞";""
"cn_Thorbjorn.m";"索爾畢尤恩";""
"cn_Thorbrand.m";"索爾布蘭德";""
"cn_Thordis.f";"索爾迪斯";""
"cn_Thorfinn.m";"索爾芬";""
"cn_Thorgrim.m";"索爾格林";""
"cn_Thorkil.m";"索爾齊爾";""
"cn_Thorlak.m";"索爾拉克";""
"cn_Thorolf.m";"索爾羅夫";""
"cn_Thunna.f";"蘇娜";""
"cn_Thurayya.f";"瑟蕾雅";""
"cn_Thurstan.m";"瑟斯坦";""
"cn_Tiba.m";"提巴";""
"cn_Tibout.m";"提伯特";""
"cn_Tiburge.f";"緹布姬";""
"cn_Tighearnan.m";"提希爾曼";""
"cn_Tigranes.m";"提格拉奈斯";""
"cn_Tihomir.m";"提霍米爾";""
"cn_Tijs.m";"提吉斯";""
"cn_Timm.m";"提姆";""
"cn_Timofei.m";"提摩菲";""
"cn_Timotheus.m";"提摩修斯";""
"cn_Timur.m";"帖木兒";""
"cn_Timurtash.m";"帖木兒塔什";""
"cn_Tin.f";"婷";""
"cn_Tindu.f";"婷都";""
"cn_Tinhos.m";"廷霍斯";""
"cn_Tino.m";"提諾";""
"cn_Tiramakhan.m";"提拉馬汗";""
"cn_Tivadar.m";"提瓦達";""
"cn_Tkfat.f";"特克法特";""
"cn_Toda.f";"托妲";""
"cn_Todai.f";"托黛";""
"cn_Todmonkh.m";"托德蒙克";""
"cn_Todogaj.f";"托朵嘉姬";""
"cn_Todor.m";"托多爾";""
"cn_Todora.f";"托朵菈";""
"cn_Todukaj.f";"托都卡姬";""
"cn_Toga_Timur.m";"托加-帖木兒";""
"cn_Togha.m";"托佳";""
"cn_Toghtekin.m";"托特金";""
"cn_Toghu.m";"托古";""
"cn_Toke.m";"托克";""
"cn_Tokhta.m";"托克塔";""
"cn_Tolui.m";"拖雷";""
"cn_Toma.m";"托馬";""
"cn_Tommaso.m";"托馬索";""
"cn_Tomos.m";"托摩斯";""
"cn_Tooril.m";"圖利爾";""
"cn_Toqoqan.m";"托闊康";""
"cn_Tora.f";"托菈";""
"cn_Toralchi.m";"托拉爾齊";""
"cn_Toralde.m";"托拉德";""
"cn_Torbeno.m";"托爾貝諾";""
"cn_Torberg.m";"托爾伯格";""
"cn_Torchitorio.m";"托齊托利歐";""
"cn_Tore.m";"托雷";""
"cn_Toregene.f";"托蕾吉妮";""
"cn_Torkel.m";"托爾凱爾";""
"cn_Torkild.m";"托爾齊爾德";""
"cn_Tormod.m";"托爾莫德";""
"cn_Torolchi.m";"托洛爾齊";""
"cn_Toros.m";"托洛斯";""
"cn_Torquil.m";"托爾祈爾";""
"cn_Tosol.m";"托索爾";""
"cn_Totorme.f";"托托莫";""
"cn_Trahaearn.m";"特拉哈伊恩";""
"cn_Traidenis.m";"特拉丹尼斯";""
"cn_Tralin.m";"特拉林";""
"cn_Treniota.m";"特雷尼歐塔";""
"cn_Tringe.f";"崔林奇";""
"cn_Tristan.m";"崔斯坦";""
"cn_Trisztan.m";"崔茲坦";""
"cn_Troian.m";"特洛伊安";""
"cn_Trojden.m";"特洛吉登";""
"cn_Truchtlip.m";"楚特力普";""
"cn_Trudde.f";"楚蒂";""
"cn_Trugot.m";"楚哥特";""
"cn_Truida.f";"楚伊妲";""
"cn_Trutwin.m";"楚特溫";""
"cn_Tsagadai.m";"察加代";""
"cn_Tsotne.m";"楚特尼";""
"cn_Tsrho.m";"茨爾霍";""
"cn_Tsuata.m";"楚亞塔";""
"cn_Tuccio.m";"圖希歐";""
"cn_Tuda.m";"圖達";""
"cn_Tudor.m";"都鐸";""
"cn_Tudur.m";"圖都爾";""
"cn_Tudwal.m";"圖德瓦爾";""
"cn_Tugh.m";"圖赫";""
"cn_Tuglugh.f";"圖格露";""
"cn_Tugtekin.m";"圖泰金";""
"cn_Tuina.f";"圖伊娜";""
"cn_Tulal.f";"圖拉爾";""
"cn_Tulubiyya.f";"圖露比雅";""
"cn_Tumart.m";"圖馬爾特";""
"cn_Tumelun.f";"圖美倫";""
"cn_Tunka.m";"圖恩卡";""
"cn_Tuoni.m";"圖歐尼";""
"cn_Tuqtani.f";"圖克塔妮";""
"cn_Turan.m";"圖朗";""
"cn_Turve.f";"圖爾薇";""
"cn_Tusakha.m";"圖薩卡";""
"cn_Tutar.m";"圖塔爾";""
"cn_Tutush.m";"圖圖什";""
"cn_Tvrtko.m";"特弗爾柯";""
"cn_Tzachas.m";"察恰斯";""
"cn_Ua.m";"烏亞";""
"cn_Ubayd.m";"烏貝德";""
"cn_Uberto.m";"烏伯托";""
"cn_Udard.m";"烏達德";""
"cn_Udelrich.m";"烏德爾利克";""
"cn_Udo.m";"烏都";""
"cn_Uffe.m";"烏菲";""
"cn_Uglesh.m";"烏格雷許";""
"cn_Ugo.m";"烏果";""
"cn_Ugos.m";"烏果斯";""
"cn_Ugrin.m";"烏格林";""
"cn_Ugs.m";"烏格斯";""
"cn_Uilliam.m";"烏爾廉";""
"cn_Uirat.m";"烏伊拉特";""
"cn_Ujan.m";"烏揚";""
"cn_Ukaa.f";"烏卡";""
"cn_Ukko.m";"烏寇";""
"cn_Uksahkka.f";"烏克薩卡";""
"cn_Ula.f";"烏菈";""
"cn_Ulaghchi.m";"烏拉齊";""
"cn_Ulaym.m";"烏雷姆";""
"cn_Ulayyah.f";"烏蕾雅";""
"cn_Ulf.m";"烏爾夫";""
"cn_Ulfhild.f";"烏夫希爾德";""
"cn_Uli.m";"烏力";""
"cn_Uliana.f";"烏莉亞娜";""
"cn_Uljai.f";"烏爾加伊";""
"cn_Ulkoszlo.m";"烏爾寇思洛";""
"cn_Ulrich.m";"烏利克";""
"cn_Ulricus.m";"烏利庫斯";""
"cn_Ulumpia.f";"烏倫皮亞";""
"cn_Umar.m";"烏馬爾";""
"cn_Umaya.f";"烏瑪雅";""
"cn_Umayna.f";"烏麥娜";""
"cn_Umayyah.m";"烏麥亞";""
"cn_Umberto.m";"昂伯托";""
"cn_Umm.f";"昂姆";""
"cn_Umur.m";"昂穆爾";""
"cn_Una.f";"烏娜";""
"cn_Unas.m";"烏納斯";""
"cn_Unto.m";"溫托";""
"cn_Uran.m";"烏朗";""
"cn_Urban.m";"厄本";""
"cn_Urendash.m";"烏倫達許";""
"cn_Urian.m";"烏利安";""
"cn_Urosh.m";"烏洛許";""
"cn_Urraca.f";"烏菈嘉";""
"cn_Urse.m";"厄斯";""
"cn_Ursula.f";"烏蘇菈";""
"cn_Uruk.f";"烏露可";""
"cn_Urus.m";"烏盧斯";""
"cn_Usamah.m";"烏薩瑪";""
"cn_Uta.f";"烏塔";""
"cn_Uthman.m";"烏斯曼";""
"cn_Uvais.m";"烏瓦伊斯";""
"cn_Uways.m";"烏維斯";""
"cn_Uyku.m";"烏庫";""
"cn_Vaasco.m";"瓦斯科";""
"cn_Vache.m";"瓦切";""
"cn_Vachut.m";"瓦丘特";""
"cn_Vaclav.m";"瓦克拉夫";""
"cn_Vagrash.m";"瓦格拉許";""
"cn_Vahan.m";"瓦翰";""
"cn_Vahram.m";"瓦拉姆";""
"cn_Vaidila.m";"瓦伊迪拉";""
"cn_Vaidotas.m";"瓦伊多塔斯";""
"cn_Vaidutis.m";"瓦伊都提斯";""
"cn_Vainamoinen.m";"瓦伊納摩南";""
"cn_Vainius.m";"瓦伊紐斯";""
"cn_Vaisvilas.m";"瓦伊斯維拉斯";""
"cn_Vaisvilkas.m";"瓦伊斯維卡斯";""
"cn_Vakhtang.m";"瓦克坦格";""
"cn_Val.m";"瓦爾";""
"cn_Valdemar.m";"瓦爾第馬";""
"cn_Valentijn.m";"瓦倫特金";""
"cn_Valentina.f";"瓦倫緹娜";""
"cn_Valeria.f";"瓦蕾莉雅";""
"cn_Valimantas.m";"瓦里曼塔斯";""
"cn_Valon.m";"瓦隆";""
"cn_Vameq.m";"瓦梅克";""
"cn_Vanakan.m";"瓦訥坎";""
"cn_Vanessa.f";"凡妮莎";""
"cn_Vanne.m";"梵尼";""
"cn_Varadin.m";"瓦拉丁";""
"cn_Vardan.m";"瓦爾丹";""
"cn_Vasak.m";"瓦薩克";""
"cn_Vasil.m";"瓦西爾";""
"cn_Vasilisa.f";"瓦希莉莎";""
"cn_Vasiliy.m";"瓦西里";""
"cn_Vasilko.m";"瓦西爾柯";""
"cn_Vaszoly.m";"瓦斯佐力";""
"cn_Vazgen.m";"瓦茲根";""
"cn_Vedillo.m";"維迪羅";""
"cn_Vela.m";"維拉";""
"cn_Velasco.m";"維拉斯可";""
"cn_Veled.m";"維雷德";""
"cn_Vellamo.f";"薇拉莫";""
"cn_Vellito.m";"維里托";""
"cn_Velzys.m";"維爾吉斯";""
"cn_Vembutas.m";"梵布塔斯";""
"cn_Vencel.m";"梵賽爾";""
"cn_Vermundo.m";"弗穆多";""
"cn_Veronica.f";"薇洛妮卡";""
"cn_Vesse.m";"維斯";""
"cn_Veton.m";"維通";""
"cn_Vezias.m";"維幾亞斯";""
"cn_Viacheslav.m";"維亞切斯拉夫";""
"cn_Viago.m";"維亞戈";""
"cn_Victor.m";"維克多";""
"cn_Victoria.f";"維多莉雅";""
"cn_Vida.f";"維妲";""
"cn_Vidal.m";"維達爾";""
"cn_Vidi.m";"維第";""
"cn_Vidmund.m";"維德穆德";""
"cn_Vieri.m";"維耶利";""
"cn_Vierna.f";"維爾娜";""
"cn_Viestards.m";"維耶思塔斯";""
"cn_Vigdis.f";"薇格蒂絲";""
"cn_Vilikaila.m";"韋立凱拉";""
"cn_Viljo.m";"韋爾鳩";""
"cn_Vimaro.m";"韋馬羅";""
"cn_Vince.m";"文斯";""
"cn_Vincent.m";"文森";""
"cn_Vincenzo.m";"文千佐";""
"cn_Vinczencz.m";"文千茨";""
"cn_Violant.f";"薇歐蘭";""
"cn_Violante.f";"薇歐蘭特";""
"cn_Virginia.f";"薇吉妮雅";""
"cn_Virva.f";"薇爾娃";""
"cn_Vishimout.m";"韋許莫特";""
"cn_Vishlii.m";"韋許利";""
"cn_Vismantas.m";"韋許曼塔斯";""
"cn_Vistruario.m";"韋斯楚亞里歐";""
"cn_Vitale.m";"韋塔爾";""
"cn_Vitapoy.f";"薇塔波伊";""
"cn_Vitovt.m";"韋托弗特";""
"cn_Vittorio.m";"韋托裡歐";""
